type        	size 	hullsize 	trueHullsize 	budget 	trueDiameter 	strDiameter 	diameterDiff 	relDiamDiff 	trueArea 	streamedArea 	areaDiff 	relAreaDiff 	errorModel1 	errorModel2 	errorModel3 	errorModel4
diameter 	72 	3 	72 	3 	2000.000 	1811.867 	188.133 	000.094 	3099466.813 	107265.947 	2992200.866 	000.965 	000.577 	000.333 	000.111 	000.037
area 	72 	3 	72 	3 	2000.000 	1942.847 	057.153 	000.029 	3112764.819 	728850.569 	2383914.250 	000.766 	000.577 	000.333 	000.111 	000.037
diameter 	72 	4 	72 	4 	2000.000 	1987.712 	012.287 	000.006 	3045794.704 	1214274.464 	1831520.240 	000.601 	000.500 	000.250 	000.063 	000.016
area 	72 	4 	72 	4 	2000.000 	1934.139 	065.861 	000.033 	3044592.828 	1204637.080 	1839955.747 	000.604 	000.500 	000.250 	000.063 	000.016
diameter 	72 	3 	72 	3 	1999.999 	1931.065 	068.934 	000.034 	3101099.190 	1085.697 	3100013.493 	001.000 	000.577 	000.333 	000.111 	000.037
area 	72 	3 	72 	3 	2000.000 	1901.358 	098.642 	000.049 	3062848.460 	783557.439 	2279291.020 	000.744 	000.577 	000.333 	000.111 	000.037
diameter 	72 	4 	72 	4 	1999.999 	1996.111 	003.888 	000.002 	3029837.253 	1375506.702 	1654330.551 	000.546 	000.500 	000.250 	000.063 	000.016
area 	72 	4 	72 	4 	2000.000 	1956.148 	043.852 	000.022 	3016758.971 	1355473.143 	1661285.828 	000.551 	000.500 	000.250 	000.063 	000.016
diameter 	86 	3 	86 	3 	2000.000 	1357.353 	642.647 	000.321 	3075451.897 	543155.728 	2532296.168 	000.823 	000.577 	000.333 	000.111 	000.037
area 	86 	3 	86 	3 	2000.000 	1988.438 	011.562 	000.006 	3087292.108 	494493.627 	2592798.481 	000.840 	000.577 	000.333 	000.111 	000.037
diameter 	86 	4 	86 	4 	1999.999 	1972.116 	027.883 	000.014 	2878605.464 	696880.329 	2181725.135 	000.758 	000.500 	000.250 	000.063 	000.016
area 	86 	4 	86 	4 	2000.000 	1970.236 	029.764 	000.015 	3104530.477 	1345805.075 	1758725.402 	000.567 	000.500 	000.250 	000.063 	000.016
diameter 	86 	3 	86 	3 	2000.000 	1999.412 	000.588 	000.000 	3045091.813 	59337.674 	2985754.139 	000.981 	000.577 	000.333 	000.111 	000.037
area 	86 	3 	86 	3 	2000.000 	1996.555 	003.445 	000.002 	3086745.745 	423946.622 	2662799.124 	000.863 	000.577 	000.333 	000.111 	000.037
diameter 	86 	4 	86 	4 	2000.000 	1998.486 	001.513 	000.001 	3116389.483 	1382343.835 	1734045.648 	000.556 	000.500 	000.250 	000.063 	000.016
area 	86 	4 	86 	4 	2000.000 	1999.895 	000.105 	000.000 	3048096.139 	593027.659 	2455068.480 	000.805 	000.500 	000.250 	000.063 	000.016
diameter 	86 	3 	86 	3 	2000.000 	1993.201 	006.799 	000.003 	3043531.766 	972390.786 	2071140.980 	000.681 	000.577 	000.333 	000.111 	000.037
area 	86 	3 	86 	3 	1999.999 	1842.328 	157.671 	000.079 	3096366.574 	921012.326 	2175354.249 	000.703 	000.577 	000.333 	000.111 	000.037
diameter 	86 	4 	86 	4 	2000.000 	1939.309 	060.690 	000.030 	3084420.596 	1047075.705 	2037344.891 	000.661 	000.500 	000.250 	000.063 	000.016
area 	86 	4 	86 	4 	1999.992 	1955.278 	044.713 	000.022 	3107822.254 	323394.876 	2784427.378 	000.896 	000.500 	000.250 	000.063 	000.016
diameter 	103 	3 	103 	3 	2000.000 	1944.257 	055.743 	000.028 	3122207.527 	650247.778 	2471959.748 	000.792 	000.577 	000.333 	000.111 	000.037
area 	103 	3 	103 	3 	2000.000 	1921.965 	078.035 	000.039 	3120353.302 	956459.991 	2163893.311 	000.693 	000.577 	000.333 	000.111 	000.037
diameter 	103 	4 	103 	4 	1999.999 	1953.288 	046.712 	000.023 	3125168.774 	1123642.640 	2001526.134 	000.640 	000.500 	000.250 	000.063 	000.016
area 	103 	4 	103 	4 	2000.000 	1919.951 	080.049 	000.040 	3095993.323 	1112004.088 	1983989.235 	000.641 	000.500 	000.250 	000.063 	000.016
diameter 	103 	3 	103 	3 	2000.000 	1909.275 	090.725 	000.045 	3095834.357 	882580.306 	2213254.051 	000.715 	000.577 	000.333 	000.111 	000.037
area 	103 	3 	103 	3 	2000.000 	1881.894 	118.106 	000.059 	3105024.272 	940161.024 	2164863.248 	000.697 	000.577 	000.333 	000.111 	000.037
diameter 	103 	4 	103 	4 	2000.000 	1924.149 	075.851 	000.038 	3104537.859 	1171818.088 	1932719.771 	000.623 	000.500 	000.250 	000.063 	000.016
area 	103 	4 	103 	4 	2000.000 	1998.908 	001.092 	000.001 	3092681.195 	1458977.308 	1633703.886 	000.528 	000.500 	000.250 	000.063 	000.016
